Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Xu, Xinhang; Xie, Jinlin; Zhang, Lifu; Qu, ChengMing; Zhuang, Ge; Liu, Wandong; ",Improvement of transmittance using groove structured surface for microwave imaging diagnostics in tokamak plasmas,"2020 45th International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)",,,1-2,2020,IEEE
"Xu, Xinhang; Xie, Jinlin; Liu, Jian; Liu, Wandong; ",Analysis of the anomalous Doppler effect from quantum theory to classical dynamics simulations,Chinese Physics B,34,12,120301,2025,Chinese Physical Society and IOP Publishing Ltd
"Yu, Guanying; Kramer, Gerrit; Zhu, Yilun; Austin, Max; Denk, Severin; Yoo, Min-Gu; Li, Xiaoliang; Zhao, Bingzhe; Xie, Ruifeng; Li, Zeyu; ",Modelling of the electron cyclotron emission burst from a laboratory tokamak plasma with loss-cone maser instability,Journal of Plasma Physics,90,6,985900601,2024,Cambridge University Press
"Luo, Chen; Tang, Xiaopin; Domier, Calvin; Li, Xiaoliang; Ti, Ang; Sun, Pengjun; Qiu, Shasha; Xu, Xinhang; Liu, Xianzi; Zhu, Yilun; ",Design of a 170GHz quasi-optical notch filter for microwave-based diagnostics protection on the burning plasma device,Fusion Engineering and Design,214,,114925,2025,Elsevier
"Li, Zihan; Yang, Shangchuan; Xu, Xinhang; Zhang, Lifu; Qu, Chengming; Li, Chengpu; Zhuang, Ge; Xie, Jinlin; ",A synthetic diagnostics platform for microwave imaging diagnostics in tokamaks,Plasma Science and Technology,26,3,034006,2024,
"Han, Dongqi; Xie, Jinlin; Hussain, Azam; Gao, Bingxi; Qu, Chengming; Liao, Wang; Xu, Xinhang; Gao, Feixue; Li, Hong; Lan, Tao; ",In situ relative self-dependent calibration of electron cyclotron emission imaging via shape matching,Review of Scientific Instruments,89,10,,2018,AIP Publishing
"Gao, BingXi; Xie, JinLin; Zhao, ZhenLing; Qu, Chengming; Liao, Wang; Xu, Xinhang; Mao, WenZhe; Zhuang, Ge; Liu, WanDong; ",Diagnostic capacity of electron cyclotron emission imaging system with continuous large observation area on EAST tokamak,Review of Scientific Instruments,89,9,,2018,AIP Publishing
"Sun, Pengjun; Li, Xiaoliang; Ren, Yang; Han, Xiaofeng; Liu, Xianzi; Qian, Jing; Zhu, Yilun; Domier, Calvin; Yao, Ke; Xu, Xinhang; ",Development and preliminary results of 270 GHz microwave forward scattering diagnostic system on the experimental advanced superconducting tokamak (EAST),Plasma Physics and Controlled Fusion,67,8,085029,2025,IOP Publishing
"Liu, Xianzi; Ren, Yang; Sun, PengJun; Domier, Calvin; Dannenberg, Jon; Xu, Xinhang; Zhu, Yilun; Luhmann, Neville; ",High-wavenumber Collective Scattering Diagnostic System for EAST and NSTX-U Tokamaks and Synthetic Diagnostic System Development,APS Division of Plasma Physics Meeting Abstracts,2024,,GP12. 115,2024,
"Li, Xiaoliang; Zhu, Yilun; Yu, Jo-Han; Chang, Yu-Ting; Chen, Ying; Domier, Calvin; Qiu, Shasha; Xu, Xinhang; Liu, Xianzi; Dannenberg, Jon; ",System-on-chip technology application on microwave imaging reflectometer,Plasma Physics and Controlled Fusion,67,5,055021,2025,IOP Publishing
"Qu, CM; Xie, JL; Zhu, YL; Xu, XH; Zhang, LF; Li, ZH; Zhuang, G; Liu, WD; ",The co-located arrangement of ECEI and MIR microwave imaging diagnostics on EAST tokamak,Journal of Instrumentation,18,10,C10018,2023,IOP Publishing
"Qu, CM; Xie, JL; Ding, WX; Zhou, C; Xu, JC; Xu, XH; Zhang, LF; Li, ZH; Zhang, YJ; Qiang, ZW; ",Experimental observation of micro-tearing modes in the tokamak pedestal,Radiation Effects and Defects in Solids,179,3-4,514-524,2024,Taylor & Francis
"Xu, Xinhang; Dannenberg, Jon; Domier, Calvin; Zhu, Yilun; Li, Xiaoliang; Luhmann, Neville; Ren, Yang; ",Optimization and active stabilization of a far-infrared laser for NSTX-U high poloidal wavenumber scattering diagnostics,Review of Scientific Instruments,96,12,,2025,AIP Publishing
"Zhu, Yilun; Chen, Ying; Chen, Pin-Jung; Dannenberg, Jon; Himes, Logan; Li, Xiaoliang; Xu, Xinhang; Domier, Calvin; Li, Lei; Hwang, James; ",Development of rad-hard millimeter-wave diagnostics for DT fusion reactors,,,,,2026,American Nuclear Society
"Yu, Guanying; Kramer, Gerrit; Zhu, Yilun; Li, Xiaoliang; Xu, Xinhang; Austin, Max; Xie, Ruifeng; Li, Zeyu; Zhao, Bingzhe; Chen, Ying; ",The ECE radiation signature of runaway electrons in optically thick and thin plasmas,APS Division of Plasma Physics Meeting Abstracts,2024,,BP12. 016,2024,
"Yu, Guanying; Kramer, Gerrit; Liu, Deyong; Marini, Claudio; Lvovskiy, Andrey; Li, Xiaoliang; Xu, Xinhang; Xie, Ruifeng; Li, Zeyu; Austin, Max; ",Radiation modeling and experimental validation of sub-cyclotron frequency microwave synchrotron radiation as a diagnostic tool for runaway electrons in present and future tokamaks,Nuclear Fusion,66,3,036024,2026,IOP Publishing
